id,学科,知识点,置信度,问题字段,字段原文,问题描述,修正内容,验收结果
LS_G1_B1_MRJ_006,历史,北方民族交融的表现,78,乱码,把民族交融理解成单方面的汉化，忽略双向借鉴；空讲交融很重要，却举不出具体表现或事例；误以为民族交融只在北方发生，忽略与江南开发的关联；把内迁的鲜卑、氏族等主体混为一谈,typical_errors “内迁的鲜卑、氏族等主体”中“氏族”应为“氐族”（五胡之一），系错字,,
YW_G1_B1_CYJJ_006,语文,词语搭配与语言得体,78,typical_errors,动宾搭配不当，如“扩大水平”“改善缺点”；敬谦辞用反，对长辈用“拜读”等不当之辞；语体不当，正式场合混入口语或相反,typical_errors 举例不当：把“对长辈用‘拜读’”当作“敬谦辞用反”的反例有误，“拜读”是阅读对方作品时的谦辞，用于长辈实为正确用法，不能作为不当用例,,
YW_G1_B5_XDXG_004,语文,《再别康桥》的意象与音乐,78,example,"[仿题]简述新诗“三美”主张。
解析：音乐美、绘画美、建筑美，讲求韵律、色彩与整饬。",example 与知识点略偏：“三美”（音乐美、绘画美、建筑美）是闻一多的新诗主张，example 转向简述“三美”主张，偏离本条“《再别康桥》的意象与音乐”；explanation 也未点明“三美”出自闻一多,,
YY_WY_G1_B1_U1_009,英语,名词变形容词的词形变化,78,乱码,需要形容词修饰名词时仍用名词原形造成词性错误；把 friendly 误拼成 friendful 叠加错误后缀；单词转化时未注意字母等拼写细节而写错词形,typical_errors 第3条“单词转化时未注意字母等拼写细节而写错词形”空泛，未指向具体错误动作,,
HX_G1_B5_GFZ_005,化学,合成橡胶的性质,78,example,"[仿题]天然橡胶的主要成分是？
解析：聚异戊二烯。",example 与知识点不匹配：知识点为'合成橡胶的性质'，example 却考'天然橡胶的主要成分',,
WL_G1_B1_XHZL_007,物理,弹簧中的胡克定律,78,typical_errors,把弹簧总长当形变量直接代入F=kx；遗漏弹性限度条件强行增大外力计算；拉压时劲度系数改变想当然认为前压后拉值不同；用mg而非合力判断弹簧形变造成错算,typical_errors 表述不清：'拉压时劲度系数改变想当然认为前压后拉值不同'语焉不详,,
WL_G1_B1_YDHL_001,物理,牛顿第一定律,78,typical_errors,把车子停下来的原因误判成没有推力而是摩擦力；错误认为物体运动需要力来维持才会一直动下去；将合力为零与不受力混为一谈当两个独立条件；忽略定律适用的前提是惯性参考系而非任意系,typical_errors 表述含混：'把车子停下来的原因误判成没有推力而是摩擦力'把错误结论与正确结论混写,,
WL_G1_B2_PTYD_014,物理,平抛神度偏角与位移偏角,78,乱码,平抛神度偏角与位移偏角,name 有错别字：'平抛神度偏角'应为'平抛速度偏角',,
WL_G1_B2_YZYD_018,物理,转盘临界滑动,78,乱码,[仿题]转盘上距心r处临界角速度由什么决定？解析：由重心即先比较静摩擦系数，令μmg等于mω方乘以r解ω。,example 解析表述混乱：'由重心即先比较静摩擦系数'语义不通,,
WL_G1_B6_RX_003,物理,热力学第一定律,78,typical_errors,把对外做功误当成W取正值；忘了把放出热量按负号代入；把Q與W的概念在公式中弄反,"typical_errors 用字不规范（""Q與W""混用繁体""與""）",,
WL_G1_B6_RX_010,物理,能量守恒定律确立,78,example,[仿题]自由落体中mgh初始等于下落过程什么量。[解析]相当于转化的动能与势能之和，总量守恒。,"example 解析空泛（""转化的动能与势能之和""表述含糊）",,
DL_RJ_G1_B1_DM_004,地理,风沙地貌的类型,80,prerequisites,DL_RJ_G1_B1_DM_001,prerequisites 硬凑：前置引用为喀斯特地貌（流水溶蚀），与本条风沙地貌（风力侵蚀/堆积）不相关,,
DL_RJ_G1_B1_DM_005,地理,冰川地貌的类型,80,prerequisites,DL_RJ_G1_B1_DM_001,prerequisites 硬凑：前置引用为喀斯特地貌（流水溶蚀），与冰川地貌（冰川刨蚀/堆积）不相关,,
DL_RJ_G1_B1_DM_006,地理,地貌观察的方法,80,prerequisites,DL_RJ_G1_B1_DM_001,prerequisites 硬凑：前置引用为喀斯特地貌，与地貌观察方法无知识承接关系,,
DL_RJ_G1_B1_DM_007,地理,海岸地貌的类型,80,prerequisites,DL_RJ_G1_B1_DM_001,prerequisites 硬凑：前置引用为喀斯特地貌（流水溶蚀），与海岸地貌（海浪侵蚀/堆积）不相关,,
DL_ZT_G1_B2_GTKF_005,地理,生态保护与修复,80,prerequisites,DL_ZT_G1_B2_GTKF_003,prerequisites 硬凑：前置引用为海洋国土的开发，与本条陆地生态保护修复（植树造林、治理水土流失）不相关,,
YY_WY_G1_B1_U5_012,英语,定语从句与主句的衔接,80,example,"[仿题]生活中国的熊猫很可爱。
解析：The panda, which lives in China, is lovely，从句紧随主句。",example 题干“生活中国的熊猫很可爱”漏字，应为“生活在中国”，题干中文不通顺,,
SX_B_G1_B6_GLTJ_001,数学,条件概率的求法,80,prerequisites,SX_B_G1_B6_GLTJ_003,prerequisites 引用不当：把后置条目 GLTJ_003（相互独立事件乘法公式）列为前置，依赖方向颠倒,,
WL_G1_B1_XHZL_002,物理,力的图示与示意图,80,乱码,[仿题]用2N的图示表示5N的力应画多长？解析：标度取2N每长度单位，故实际画2.5个单位长度。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B1_XHZL_003,物理,重力大小与方向,80,乱码,[仿题]在月球表面称得某物体重为地球上的六分之一，其质量是否变化？解析：质量是物体固有属性不变，重力与g有关。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B1_XHZL_012,物理,摩擦方向与运动判断,80,乱码,[仿题]皮带加速，木块相对皮带向后滑，摩擦方向如何？解析：阻碍相对向后滑动，摩擦力向前。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B1_XHZL_018,物理,正交分解法,80,乱码,[仿题]力F=10N与x轴成30°，求其x分量。解析：x分量=Fcos30°=8.66N，方向沿x轴。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B1_XHZL_023,物理,摩擦角与临界问题,80,乱码,[仿题]物块μ=0.5，求恰好下滑的斜面角θ。解析：临界tanθ=μ=0.5，θ=arctan0.5。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B1_YDMS_001,物理,质点的概念与适用条件,80,keywords,质点；理想模型；忽视大小形状；参照系,keywords 跑题：'参照系'与本条'质点'知识点无关,,
WL_G1_B2_PTYD_008,物理,抛体运动的概念与分类,80,乱码,[仿题]抛体运动的加速度有何特点？解析：加速度恒为重力加速度g，方向竖直向下，大手恒定。,example 解析有错别字：'大手恒定'应为'大小恒定',,
WL_G1_B2_WYYL_003,物理,开普勒第三定律,80,乱码,[仿题]两颗行星轨道半长轴之比为4比1，求它们的公转周期之比。解析：由半长轴一方比T方等于常量，得周期之比为8比1。,example 解析有错别字：'半长轴一方比T方'应为'半长轴三次方比T平方',,
WL_G1_B3_DCGS_003,物理,磁通量Φ=BS,80,乱码,[仿题]面积0.5m²、B=0.4T且垂直，求Φ钢。[解析]Φ=BS=0.4×0.5=0.2Wb。,example 题干有错别字：'求Φ钢'应为'求Φ'，多出'钢'字,,
WL_G1_B3_DLJY_007,物理,伏安特性曲线与线性非线性,80,乱码,"[仿题]伏安特性为过原点直线的元件中央是什么？
解析：线性元件，电阻恒定，斜率为电流电压之比。",example 题干表述混乱：'元件中央是什么'语义不通,,
WL_G1_B3_DNNL_002,物理,电功率及其计算,80,乱码,[仿题]U=110V、I=0.5A，求电功率。解析：P=UI=110×0.5=55W。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_003,物理,焦耳定律与焦耳热,80,乱码,[仿题]R=10Ω、I=2A通电5s，求焦耳热。解析：Q=I2Rt=4×10×5=200J。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_007,物理,串并联电功率分配,80,乱码,[仿题]两个电阻串联，R1=2Ω、R2=4Ω，谁的功率大？解析：串联P与R成正比，R2功率大。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_008,物理,电动势的概念理解,80,乱码,[仿题]电源把1C正电荷非静电力做功5J，求电动势。解析：E=W非/q=5/1=5V。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_009,物理,电源内阻与内电路,80,乱码,[仿题]内阻r=1Ω，回路电流I=2A，求内电压。解析：内电压U内=Ir=2V。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_010,物理,闭合电路欧姆定律,80,乱码,[仿题]E=9V、R=8Ω、r=1Ω，求回路电流。解析：I=9/(8+1)=1A。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_011,物理,路端电压与电流关系,80,乱码,[仿题]E=12V、r=2Ω、I=1.5A，求路端电压。解析：U=12-2×1.5=9V。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_012,物理,电源的总功率,80,乱码,[仿题]E=6V、I=1A，求电源总功率。解析：P总=EI=6×1=6W。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_013,物理,电源的内耗功率,80,乱码,[仿题]r=2Ω、I=3A，求内耗功率。解析：P内=I2r=9×2=18W。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_014,物理,电源的输出功率,80,乱码,[仿题]U=8V、I=2A，求电源输出功率。解析：P出=UI=8×2=16W。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_015,物理,电源的效率计算,80,乱码,[仿题]外电阻R=9Ω、内阻r=1Ω，求效率。解析：η=9/(9+1)=90%。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_016,物理,输出功率最大条件,80,乱码,[仿题]E=8V、r=4Ω，求外阻为何值时输出功率最大。解析：外阻调至R=r=4Ω，最大值为8²/(16)=4W。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_017,物理,滑动变阻器动态分析,80,乱码,[仿题]变阻器阻值调大，与它串联的电流读数如何变？解析：串反，电流读数减小。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_019,物理,欧姆调零与倍率选择,80,乱码,[仿题]指针示数30、倍率×100，求实测电阻。解析：R=30×100=3000Ω。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_020,物理,多用电表测电动势,80,乱码,[仿题]U-I图纵轴截距6V、斜率1，求电动势内阻。解析：E为截距6V，r为斜率绝对值1Ω。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_DNNL_022,物理,能源与能量转化应用,80,乱码,[仿题]输入电能100J，其中30J转化为热，求转化效率。解析：η=70/100=70%。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_JCDN_013,物理,电容的概念,80,乱码,[仿题]电容器C=2μF，加3V电压时带电多少？解析：Q=CU=2×3=6μC。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B3_JCDN_017,物理,带电粒子加速问题,80,乱码,[仿题]静止粒子经电压U加速，求末速度表达式。解析：qU=mv²/2，解得v=√(2qU/m)。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B4_DLSC_001,物理,动量概念与矢量性,80,乱码,[仿题]1kg物体以3m/s向东运动，动量多大？解析：p=mv=3kg·m/s，方向向东。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B4_DLSC_010,物理,完全弹性碰撞,80,乱码,[仿题]质量相等两球弹性对心碰，碰后速度如何？解析：动量动能皆守恒，两球速度交换。解析完毕。,example 含'解析完毕'残留,,
WL_G1_B5_CGQ_002,物理,传感器基本组成环节,80,乱码,[仿题]光敏传感器三部分作用顺序是什么？解析：先感受光照，再转换，最后电路输出信号。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_CGQ_005,物理,光敏电阻的特性,80,乱码,[仿题]光照增强时光敏电阻阻值及电流如何变？解析：阻值变小，同电压下其电流随之增大。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_001,物理,LC电路的充放电过程,80,乱码,[仿题]LC回路电容刚放电瞬间，电流如何变化？解析：电流从零逐渐增大，线圈储能渐增。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_002,物理,振荡电流与方向判定,80,乱码,[仿题]充完电瞬间电路电流是最大还是零？解析：充电完毕电流为零，随后反向开始振荡。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_005,物理,LC振荡周期公式,80,乱码,[仿题]L、C均不变，只增大充电电压，周期变吗？解析：周期与电量电压无关，保持不变。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_006,物理,电磁振荡的频率,80,乱码,[仿题]要使振荡频率增大应如何调电容？解析：频率与LC成反比，应减小电容。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_007,物理,振荡电流的图像分析,80,乱码,[仿题]正弦振荡电流何时磁场能最大？解析：电流达峰值时线圈磁场能最大。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_008,物理,电荷量与电流的关系,80,乱码,[仿题]电荷量最大时电路电流多大？解析：放电刚开始电流为零，随后才增大。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_009,物理,麦克斯韦电磁场理论,80,乱码,[仿题]均匀变化的电场产生怎样的磁场？解析：产生稳定即非变化的磁场。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_011,物理,变化的电场产生磁场,80,乱码,[仿题]周期性变化的电场能激发什么场？解析：同步周期变化产生相应的磁场。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_012,物理,电磁波的产生条件,80,乱码,[仿题]电磁波传播需要介质吗？解析：不需要，可在真空与不同介质中传播。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_013,物理,电磁波的传播特点,80,乱码,[仿题]电磁波在真空中的传播速度是多少？解析：等于光速约3×10^8米每秒。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_014,物理,电磁波波速与频率波长,80,乱码,[仿题]c=3×10^8m/s，f=10^8Hz，求波长。解析：λ=c/f=3m。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_015,物理,电磁波谱的组成,80,乱码,[仿题]电磁波谱中频率最高的是哪个波段？解析：伽马射线频率最高波长最短。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_016,物理,电磁波谱的应用,80,乱码,[仿题]验钞常利用哪种电磁波？解析：利用紫外线能使荧光物质发光。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_017,物理,电磁波的发射过程,80,乱码,[仿题]要使振荡电路有效发射电磁波需怎样改造？解析：提高频率并用开放天线电路。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_018,物理,调制与调幅调频,80,乱码,[仿题]调幅是让载波哪个特征量随信号变化？解析：让载波振幅随低频信号变化。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_019,物理,电磁波的接收与解调,80,乱码,[仿题]收音机换台靠哪一步选出电台？解析：调谐使回路频率与载波频率谐振选出。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_020,物理,无线电波的波段划分,80,乱码,[仿题]短波主要靠什么进行远距离传播？解析：靠电离层反射使信号传向远方。解析完毕。,"example 含模板残留""解析完毕""",,
WL_G1_B5_DCZD_021,物理,雷达测距的应用,80,乱码,[仿题]雷达检测往返用2×10^-4秒，目标距雷达多远？解析：距离=c×t/2=3×10^4m。解析完毕。,"example 含模板残留""解析完毕""",,
