id,学科,知识点,置信度,问题描述,定义原文,详解原文,修正后定义,验收结果
YY_RJ_G1_B1_U2_007,英语,景点观光活动词汇,72,typical_errors 有车轱辘话：'把 scenery 误当作复数 scenery'自指、指向不清（typical_errors 里 scenery 与 scenery 自指，未说明具体错误动作。）,掌握观光、看景点等观光活动词及其固定搭配的用法。,描述景点和活动时，你会用 visit a museum、go hiking、climb the mountain 这类词，比如 We plan to visit the Great Wall。注意 sightseeing 前用固定搭配 go，说 go sightseeing，不能写 do sightseeing。把词跟动作一起记，介绍旅行计划时就用得上了。,,
YY_RJ_G1_B1_U3_007,英语,健康生活方式词汇,72,typical_errors 有车轱辘话：'energetic 与 energetic 拼写混淆漏字母'自指无效（typical_errors 里 energetic 与 energetic 自指，无具体错误信息。）,掌握描述健康状况与生活态度的常用形容词。,表达健康主题时，你要会准确用词：healthy 表健康的，fit 表体形健康灵活的，energetic 表精力充沛的，positive 表积极向上的。例如 Staying active keeps me fit and energetic。你最好把这些形容词和它们描述的状态搭配记忆，用词时先想清楚是要强调身体健康、体形还是精神状态，再选择合适的词，表达才准确。,,
YY_RJ_G1_B1_U3_011,英语,压力放松调节词汇,72,typical_errors 有车轱辘话：'混淆 stress 与 stress 派生词'自指、指向不清（typical_errors 里 stress 与 stress 自指，未具体说明混淆对象。）,掌握谈论压力与放松状态的常见词汇用法。,讲健康你会谈到压力与放松：stress 是压力，relax 动词放松，relieve stress 表示缓解压力。比如 Exercise can help you relieve stress。你要注意 relieve 后可直接接 stress 作宾语，relax 是不及物动词后不接宾语。你还要区分 stress 作名词表压力，用词时先想清楚是作动词还是名词，选择才对。,,
YY_RJ_G1_B1_U4_009,英语,洪水泥沙台风等灾害,72,typical_errors 有空泛表述：'把 typhoon 台风误写成太简单或漏字母'指向不清（typical_errors 首条'太简单'表意空泛，未指向具体错误。）,掌握洪水、滑坡、台风等各类自然灾害的名称表达。,你要记住 flood 洪水、landslide 山体滑坡、typhoon 台风、drought 干旱、tsunami 海啸等名称。比如 The typhoon brought heavy rain and caused floods。这些灾害名词常被 hit、strike 支配，表灾害爆发用 break out。把名称词和它的后果串进句子记忆，考试时就稳定。,,
YY_RJ_G1_B1_U4_011,英语,幸存与救援词汇,72,typical_errors 有车轱辘话：'rescue 作名词时误写成 rescue 前加 to'自指无效（typical_errors 里 rescue 自指，未说明具体词形错误。）,掌握幸存、救援、幸存者等词的词形与用法。,讲灾害后的求生，你要会用 survive 幸存、survivor 幸存者、rescue 救援、search for 搜寻。比如 The rescuers managed to save the survivors，救援人员设法救出了幸存者。你要分清 survive 是动词直接及物，survivor 是名词，rescue 可作动词也可作名词，搭配算好它们的词性和拼写，才不会在写作里用错词形。,,
YY_RJ_G1_B1_U5_008,英语,figure out 表示弄清,72,example 解析与题干不匹配：'改错：I figured it out quickly'本身无错却标为改错，解析说'已正确'，题干自相矛盾（example 标注改错但句子无误、解析又称已正确，题目不完整。）,掌握 figure out 表示弄明白及人称代词作宾语放中间的用法。,学语言遇难题，figure out 表示最终弄明白，比如 I finally figured out the meaning。它后接宾语或疑问词从句，如 figure out what the word means。你要注意 figure 是及物短语，人称代词作宾语要放中间，写成 figure it out，不能说 out it。把它和 why、how 引导的疑问句一起练，写作和阅读都用得上。,,
YY_RJ_G1_B2_U1_009,英语,参与保护活动表达,72,example 题干有乱码：'取救了，很多志愿者 ___（take part）in 修复'表意不通（example 题干'取救了'语义不明，题目不完整。）,掌握参加、参与、贡献等表达参与行动的短语。,号召参加保护行动你会用 take part in 参加、be involved in 参与、contribute to 贡献等表达。比如 Many students took part in the cleanup。注意 take part in 后面接活动名词，be involved in 表更深度投入，contribute to 后接动名词表做出贡献。把这三个短语搭配练熟，写倡议信就顺手。,,
YY_RJ_G1_B2_U2_008,英语,栖息地与保护区词汇,72,typical_errors 有车轱辘话：'habitat 与 habitat 单复数混淆'自指无效（typical_errors 里 habitat 自指，无具体错误信息。）,掌握栖息地与保护区类名词的识别与用法。,谈论保护措施你会需要 habitat 栖息地、reserve 保护区、natural park 自然公园等词。比如 The area was turned into a wildlife reserve，这块区域被划为野生动物保护区。你要注意 habitat 是动物的天然栖息地，reserve 指划定的保护区域。把栖息地和保护区连起来记忆，描写生态保护措施时表达就专业了。,,
YY_RJ_G1_B2_U4_007,英语,历史朝代时期词汇,72,typical_errors 有车轱辘话：'把 century 与 century 数词搭配记错'自指无效（typical_errors 里 century 自指，无具体错误信息。）,掌握朝代、古代、有历史意义等历史词汇的用法。,谈论历史你会用到 dynasty 朝代、ancient 古代的、historic 有历史意义的、century 世纪等词。比如 The temple dates from the Tang dynasty，这座寺庙可追溯到唐代。你要注意 ancient 强调远古，historic 强调有历史纪念意义，别混淆。把历史时期词和具体朝代对应记，聊中国历史传统时才准确。,,
YY_RJ_G1_B4_U2_005,英语,预测表达的句式,72,typical_errors 有车轱辘话：'predict 与 predict 形式用错状态'自指无效（typical_errors 里 predict 自指，无具体错误信息。）,用 predict、be likely to 表达对未来趋势的预测。,你表达预测用这些结构：predict 预测、it is predicted that 据预测、be likely to do 很可能、expect 预期。例如 It is predicted that robotics will replace many jobs。判断主从句时态结构与将来相关。写作未来预测时先亮预测，再用搭配加具体领域，语气要客观。,,
YY_RJ_G1_B4_U3_005,英语,描述自然景观的句式,72,typical_errors 有车轱辘话：'stretch 与 stretch 的主动形式用错'自指无效（typical_errors 里 stretch 自指，无具体错误信息。）,用 surround、stretch 等表达山水景色。,你描述山水用这些词：be covered with 被覆盖着、stretch 绵延、surround 环绕、lie 位于、flow 流淌。例如 The valley is covered with alpine flowers。写作写景先定位置再用动词讲展开状态，后补充色彩与感受。用对句式让画面立体生动。,,
YY_RJ_G1_B4_U5_005,英语,农业与粮食核心词汇,72,typical_errors 有车轱辘话：'crop 与 crop 单复数的使用错误'自指无效（typical_errors 里 crop 自指，无具体错误信息。）,与农业、种植、土壤、粮食生产相关的核心词汇及搭配。,你认识农业词是读懂种植类文章的前提：crop 作物、yield 产量、soil 土壤、fertile 肥沃的、harvest 收获、irrigate 灌溉、pesticide 农药。记词带搭配，如 increase the yield、be fertile。做农业阅读先锁定生产词所在句把握过程。,,
YY_RJ_G1_B5_U2_005,英语,文化交流行为动词搭配,72,typical_errors 有车轱辘话：'promote 与 promote 后的宾语搭配不自然'自指无效（typical_errors 里 promote 自指，无具体错误信息。）,介绍、分享、尊重文化等行为动作及其固定搭配的动词用法。,你表达文化交流动作时常用 introduce 介绍、share 分享、exchange 交流、respect 尊重、celebrate 庆祝。常见搭配有 introduce Chinese culture to others、share experiences、promote cultural exchange。写作文谈交流时先定动作词，再配搭配好的宾语，句子结构完整，意思也更到位。,,
YY_RJ_G1_B5_U3_005,英语,食物与食材核心词汇,72,typical_errors 有车轱辘话：'ingredient 与材料 ingredient 拼写漏字母'自指无效（typical_errors 里 ingredient 自指，无具体错误信息。）,常见食材与食品的名词，如 ingredient、soup。,你看美食文章会遇到食材名词：ingredient 配料、soup 汤、staple food 主食、dumpling 饺子、porridge 粥、flavour 风味。遇到 add the ingredients 加配料、staple food 主食这类组合就能理解制作内容。记词时把词与常见搭配绑定，如 cook a soup、staple grains，理解菜谱和烹饪类阅读更顺手。,,
YY_RJ_G1_B6_U3_007,英语,环境污染类型词汇,72,typical_errors 有车轱辘话：'garbage 与 垃圾对应词拼写错误'自指无效（typical_errors 里 garbage 与中文'垃圾'自指，无具体错误。）,空气、水、垃圾等各类污染类型及环境问题的核心名词。,你认识污染名词：air pollution 空气污染、water pollution 水污染、noise pollution 噪音污染、plastic waste 塑料垃圾、garbage 垃圾。如 The air pollution is getting worse. 阅读看到 water pollution 就能锁定主题。记词区分污染类型，读环保类文章定位更快。,,
YY_RJ_G1_B6_U3_009,英语,能源与资源词汇,72,typical_errors 有车轱辘话：'solar 与 solar 形容词位置搭配错'自指无效（typical_errors 里 solar 自指，无具体错误信息。）,solar、wind、renewable 等与能源类型和资源相关的核心词汇。,你谈能源会用到 solar energy 太阳能、wind power 风能、renewable energy 可再生能源、natural resources 自然资源。如 Solar power is clean. 阅读看到 renewable 就知道在讲可持续能源。记词区分可再生与不可再生，谈环保主题文章更准确。,,
YY_RJ_G1_B6_U5_008,英语,诗歌朗读拉过表达,72,typical_errors 有车轱辘话：'recite 与 recite 的读音拼写混淆'自指无效（typical_errors 里 recite 自指，无具体错误信息。）,recite、recital、perform 等描述朗诵与表演诗歌动作的词汇。,你谈朗诵用 recite 背诵朗诵、recital 朗诵会、perform 表演、deliver a poem 诵读诗歌。如 She recited the poem beautifully. 写作介绍朗诵会先用 recite 讲动作，再配效果。判断对象词，朗诵类表达才完整地道。,,
YY_WY_G1_B1_U2_007,英语,描述母语者的表达,72,typical_errors 第3条“口音 accent 与语言 accent 一词多义的选义失误”表述混乱，自我重复无实际指向（typical_errors 含车轱辘话式无意义表述）,描述母语者、口音及语言熟练度的相关表达方式。,你讨论语言背景时会用到 native speaker 母语者、accent 口音、fluent 流利的等表达。比如可以说 she speaks with an American accent 来描写口音。注意 fluent 描述人的语言水平，foreign language 与 second language 含义略有差别。写作文谈语言时用对这类词，能让表达更地道专业。,,
YY_WY_G1_B1_U3_006,英语,家庭关系核心词汇,72,typical_errors 第1条“把 harmony 与 harmony 的形容词形式混用”自我重复（harmony 的形容词应是 harmonious），表述错误（typical_errors 出现错误且自指表述）,描述家庭成员与亲属关系类型的核心英语词汇。,你写家庭话题要用到 relative 亲戚、support 支持、respect 尊重、harmony 和谐等词。表达家庭温馨可说 in harmony 关系和谐，可说 our family is full of care。记忆时把表示称呼的名词与表示情感态度的抽象名词分开归类，比如把 care 归情感类。作文表达亲情时用这些词更到位。,,
YY_WY_G1_B1_U6_012,英语,感官连系动词的基础用法,72,example 解析“feel 感官词后接形容词”但例句用的是 look，解析与例句不匹配（example 解析与例句动词不一致）,look 等感官动词作连系动词接形容词补语的基础用法。,你描写景色或感受时可用 look、sound、smell、taste 等感官动词作系动词，后接形容词而非副词。比如 The valley looks beautiful 表示山谷看起来很美。它们表示人的感官判断，后面不加副词直接加形容词。写自然描写时用这些词能让画面生动，语言也更自然。,,
YY_WY_G1_B2_U2_009,英语,描述节日气氛的表达,72,typical_errors 第1条“lively 与 lively 形容词与副词拼写混用”自我重复，无实际指向（typical_errors 含自指无意义表述）,描述节日氛围热烈欢快气氛的形容词与常用搭配。,你描写节日气氛常用 lively 热闹的、joyful 快乐的、warm 温暖的、peaceful 平静的等形容词，如 a lively square 热闹的广场。表示空气中满溢气氛可说 full of joy 充满欢乐。写节日场景片段时用这类词烘托情绪，让描写立体而不空洞。,,
YY_WY_G1_B2_U6_005,英语,so 与 such 的省略用法,72,name/definition 把 so/such 的程度用法与“I think so”的省略用法混为一谈，知识点界定混乱（知识点定义与示例（I think so）不是同一语法现象）,用 so 或 such 省略重复成分以增强表达程度的用法。,你为避免重复已出现的内容时 so 与 such 也有体现：如 I think so 表示我也这么认为，省略了具体内容。这类省略让对话简洁自然。写作时用 so 去省略已明确的内容，不赘述又表达清楚。不过省略要建立在上下文清晰的前提下再进行。,,
YY_WY_G1_B2_U6_008,英语,浅层推测情态词汇,72,typical_errors 第2条“否定推测误用 mustn't 而用 should 表许可意混淆”语句混乱不通（typical_errors 含错乱表述）,用情态动词对环保现状作推测时表达确定程度的用法。,你依据现状做轻量推测时可用 may、might、must、can't 等情态词表达不同的确定程度。比如 The problem may be serious 表示问题或许严重，must be 则表示极肯定。写环保分析时按依据可靠的强弱选择情态词，表达严谨客观，让你的判断容易被读者接受。,,
YY_WY_G1_B3_U1_009,英语,表达感谢与理解句型,72,typical_errors 第1条“感谢某事误把 Thank for 后误接句子而不加动名词”语句不通（typical_errors 表述混乱）,表达感谢理解与体谅他人处境的礼貌英语句型。,你拉近人际距离时可用 Thank you for understanding 感谢你的理解、I really appreciate it 我很感激、I see what you mean 我明白你的意思等句型。表达体谅可说 I understand how you feel。写致歉或感谢的信件时用这些句型传递情感，让语言显得真诚而体面。,,
YY_WY_G1_B3_U2_002,英语,过去虚拟主句结构,72,explanation 中“它与 from 从句的 had done 呼应”写错连接词，应为 if 从句（explanation 出现术语/连接词错误）,与过去事实相反虚拟句主句用 would have 加过去分词。,"与过去相反的虚拟句主句结果用 would have、could have 或 might have 加过去分词。比如 If I had gone, I could have met you 中 could have met 表本可能见到你。它与 from 从句的 had done 呼应。你只需注意主句保留 have 及分词形式，虚拟语气即完整成立。",,
YY_WY_G1_B6_U3_009,英语,定语从句中先行词的识别,72,example “The story ___ told us was true”解析“填 he/that”错误：he 是定语从句主语，并非省略的关系代词，解析混乱（example 解析混淆关系代词与从句主语）,先行词在从句中作宾语时关系代词可省略。,先行词是定语从句修饰的对象，识别它很关键。当关系代词在从句中作宾语时，常可省略。比如 the book I bought，I 后面省略了 that，因为 that 是 bought 的宾语。你判断能否省略，先看从句缺主语还是宾语，缺宾语就多数可省，缺主语则不能省。学会这个规则，阅读长难句更轻松。,,
YY_WY_G1_B6_U5_001,英语,主语从句的结构与判断,72,explanation 开头“主语从句就是主语从句”是车轱辘话，无信息量（explanation 含车轱辘话）,从句在句中作主语时，整个从句充当主语成分。,主语从句就是主语从句。它作主语时，句首可以是 what、that、whether 引导的连接词。比如 That he will come is clear，that 引导整个主语从句。你判断时问主句的谓语动词到底是谁发出的，如果这个发出来的是整个从句，那就是主语从句。识别出来了，改错填空就有方向。,,
YY_WY_G1_B6_U6_009,英语,所有格的省略与用法,72,explanation 表述混乱（“还有一个具体情况”“比多句子”等），typical_errors 也含“比多句子中的省略理解错误”这种错字（explanation 与 typical_errors 均含混乱表述）,名词后的所有格常省略修饰相同的名词。,当两个并列成分的物主对象相同时，后一个所有格的名词可以省略。比如 This pen is hers，还有一个具体情况，常见于比较句中。你看到这样的省略语部分，可以自动补全被省略的名词来理解。正确还原省略内容，阅读比较句和并列句时更准确。,,
ZZ_G1_B5_GZZ_003,政治,联合国的宗旨,72,definition 与 name 不匹配：name 是联合国的宗旨，definition 写的是联合国的地位（最具普遍性、代表性和权威性的国际组织），未点明宗旨（definition 没有回答名称所问的宗旨（维护国际和平与安全、促进国际合作与发展），学生看 definition 得不到本知识点核心内容。）,联合国是当今世界最具普遍性、代表性和权威性的国际组织。,联合国是当今世界最重要的国际组织。你要掌握：联合国1945年成立，总部设在美国纽约；其宗旨是维护国际和平与安全、促进国际合作与发展；安理会是联合国维护国际和平与安全的主要机构，中、法、俄、英、美是常任理事国。答题常考联合国的宗旨、安理会及常任理事国。,,
SW_G1_B1_JBJG_010,生物,细胞器之间的分工协作,72,typical_errors 空泛：'不会在生理过程中综合调用'未指向具体错误动作（首条典型错误停留在答题能力层面，缺乏可纠正的具体知识点）,各种细胞器分工不同又相互配合，共同完成细胞的生命活动。,细胞内的各种细胞器既分工又协作：线粒体供能，核糖体合成蛋白质，内质网加工，高尔基体分类包装，溶酶体分解衰老细胞器，液泡储存物质，中心体参与细胞分裂。你理解“分工协作”要放在具体生理过程中看，如分泌蛋白合成需要多种细胞器接力，植物细胞光合作用需要叶绿体。答题常考某一生理过程涉及哪些细胞器，把功能与结构对应起来作答。,,
SW_G1_B1_ZJXB_010,生物,显微镜成像与移动方向规律,72,explanation 有套话模板句：'你做题时先判断…两者结合才不会错'（解题套话模板句，缺乏实质内容）,显微镜下成倒像，物像移动方向与玻片移动方向相反，放大倍数由目镜乘物镜。,显微镜成的是倒立放大虚像，所以你看到物像在左下方，实际物体在右上方，要把物像移到中央就应向物像所在方向移动玻片。放大倍数等于目镜倍数乘以物镜倍数，且放大的是长度或宽度而不是面积。你做题时先判断倒像规律再算放大倍数，两者结合才不会错。注意低倍镜换高倍镜后，视野变小变暗，细胞数目减少而个体变大。,,
SX_B_G1_B1_DSBS_001,数学,等式的性质,72,explanation 有车轱辘话和套话（所有等号变形的依据、掌握了这些…才能保证恒成立 等填充句）（解释含多处填充套话，实质信息偏少）,等式两边同加、同乘、同除同一非零数后仍相等，且相等关系具有对称性与传递性。,等式的性质是所有等号变形的依据，你做题时每一步都依赖它。移项的本质是两边同加同一个数；两端同乘或同除时，除数一定要非零，否则结果可能出错。你还要会用对称性判断两边互换，用传递性把两个等式连起来。写理由时，说清楚“两边同乘非零常数”这类操作，而不是只写“显然”。掌握了这些，后面的方程和不等式的每一步才能保证恒成立。,,
SX_B_G1_B3_SJH_001,数学,任意角与象限角,72,typical_errors 有逻辑错误：负角在数轴上更靠左本质更大 方向说反，应为 更小（典型错误中 负角更靠左更大 方向说反）,角按旋转方向分为正角、负角和零角，终边位置决定象限归属。,你要把角从'静止的图形'升级成'旋转的过程'。逆时针旋转得到正角，顺时针得到负角，不旋转是零角，角度可以超过360°，也能是负的。判断一个角在哪个象限，要看它的终边落在哪：与x轴正方向重合的角不属于任何象限，只有终边真正落在某个象限内才算这个象限的角。遇到大角度时，先用360°整数倍把它化到0°到360°再判断，屡试不爽。,,
WL_G1_B5_CGQ_010,物理,传感器电路参数判断,72,"explanation 术语不当（""遮挡法""疑为错词）（""遮挡法""是非常规术语，学生看不懂）",根据敏感元件参量变化，用串并联规律判断电路各量变化。,传感器常常接在电路里，要你判断光强、温度或压力变化后电流表、电压表读数怎么变。你的思路要固定成三步：先确定敏感元件的阻值或参量怎么变，再用串并联关系推出干路电流和分压怎么变，再看电表所在支路得到读数。变化的方向都要结合具体电路判断，绝不能凭单个元件直接下结论。电源电动势和内阻不变是隐含前提，讨论变化趋势用遮挡法或整体局部结合往往更快。,,
WL_G1_B5_DCGY_021,物理,互感现象的产生,72,"explanation 学术黑话（""相链磁通量""难懂）（""相链磁通量""是晦涩术语，学生读不懂）",一个线圈变化的电流在另一线圈产生电动势。,互感是指一个线圈中的电流发生变化时，其变化磁场会在邻近的另一线圈中产生感应电动势的现象。变压器就是利用互感原理工作的。分析互感问题时，你要清楚变化的电流才引起互感电动势，恒定电流不会产生互感。判断互感电动势大小时，你要看相链磁通量的变化率。在解答时你先确定哪个线圈的电流在变化，再判断磁场如何变化，进而分析另一线圈的电动势与方向是否与电路结构相符。,,
WL_G1_B5_JBDL_007,物理,平均值的计算,72,"definition 表述不清（""平均值用磁通量变化率或电量来计算""）（定义句未说明是""平均电动势/平均电流""，指向不清）",平均值用交流电的磁通量变化率或电量来计算。,交变电流的平均值是指一段时间内电流对时间的平均大小，计算电荷量q等于平均电流反复乘以时间时，必须用平均值而不是有效值。对电磁感应瞬时表达式积分求得的平均值往往与最大值和有效值都不相等。你记清有效值用于计算热量和做功，而平均值的直接应用是求解通过导线的电荷量。,,
WL_G1_B6_FZDL_001,物理,物质由大量分子组成,72,"example 题干表述不清（选项A""一天气变冷""）（示例题干选项文字残缺，影响直接阅读）",物质是由大量分子组成的，分子间存在间隙。,你对“分子”要有宏观直觉：任何看得见摸得着的实物，包括固体、液体和气体，都是由数量极其巨大的分子堆积而成的。分子极小又是我们看不见的，所以必须把物质的宏观现象和分子的微观行为联系起来思考。只有承认分子确实存在且数量巨大，才能理解扩散、热胀冷缩等许多现象的微观根源，这是整个分子动理论的基础出发点。,,
SW_G1_B1_ZCFZ_007,生物,脱水缩合与肽链计算,73,explanation 有套话模板句：'公式要背熟并会套用'（结尾'背熟''套用'为填充废话，无实质内容）,氨基酸经脱水缩合形成肽键连接成肽链，n个氨基酸形成m条链脱去n减m个水。,氨基酸通过脱水缩合形成肽键相连：一个氨基酸的羧基与另一个氨基酸的氨基脱去一分子水形成肽键。你记计算公式：n个氨基酸形成m条肽链，脱去的水分子数等于形成的肽键数等于n减m；蛋白质的相对分子质量等于氨基酸数乘氨基酸平均相对分子质量减脱水数乘18。答题常考脱去水数、肽键数的计算以及蛋白质分子量变化，公式要背熟并会套用。,,
SW_G1_B1_ZCFZ_009,生物,核酸的种类与分布,73,explanation 有套话模板句：'说清…即可拿分'（结尾'即可拿分'为填充废话）,核酸分DNA和RNA两类，DNA主要分布在细胞核，RNA主要分布在细胞质。,核酸是细胞内携带遗传信息的物质，分为脱氧核糖核酸（DNA）和核糖核酸（RNA）两类。你记分布：DNA主要分布在细胞核中，线粒体、叶绿体内也含有少量DNA；RNA主要分布在细胞质中。真核细胞的DNA主要存在于染色体上，原核细胞无染色体，DNA集中在拟核。答题常考两类核酸的分布与判断，说清DNA在细胞核、RNA在细胞质即可拿分。,,
YY_WY_G1_B1_U3_008,英语,表示代际关系的表达,74,typical_errors 第2条“把 teenager 与 kid 忽义等同”出现生造词“忽义”，学生读不懂（typical_errors 含错别字表述）,描述长辈与晚辈之间代际关系与相处的英语表达。,你讨论与祖父母相处时会用到 generation 代、the elderly 老人、obey 听从、teenager 青少年等词。可以说 respect the elders 尊重长辈来说明代际礼仪。写明家庭成员层级时可用 grandparents、parents、children 表示三代人。注意 the old 这类泛指老人的表达用法，别与具体的老人单复数混淆。,,
YY_WY_G1_B1_U6_006,英语,过去分词的规则与不规则,74,typical_errors 第1条“不规则动词 see 误按其过去式 seen 重复加 ed”表述混乱（seen 是过去分词，且该条逻辑不清）（typical_errors 表述混乱、术语使用不严谨）,动词构成过去分词时规则加ed与不规则变化的对应规则。,你写现在完成时要用过去分词，规则动词一般加 ed，特殊性变化与过去式相关；不规则动词如 go 变 gone、see 变 seen 需靠记忆。写完成时句子时先确定动词属于规则还是不规则，规则按规律变化，不规则从清单检索。多积累 have done 结构，运用会更熟练。,,
YY_WY_G1_B2_U1_004,英语,询问饮食偏好的疑问句,74,typical_errors 第2条“特殊疑问词选错 while 具体询问对象造成错位”混入英文“while”，表述不通（typical_errors 含错乱表述）,用一般疑问及特殊疑问获取饮食偏好信息的句型结构。,你询问对方饮食偏好时可用一般疑问句如 Do you like ...? 或特殊疑问句如 What food do you enjoy?。一般疑问句回答是或否，特殊疑问句获取具体信息。写对话时先用 Do you 确认是否喜欢，再用 What 追问细节，配合 do 与行为动词原形，表达自然有礼貌。,,
YY_WY_G1_B2_U3_007,英语,描述运动动作的动词,74,typical_errors 第2条“训练 train 后误接原形而应区分配 as 结构”表述混乱，“区分配 as”不通（typical_errors 含错乱表述）,描述参与运动与训练锻炼动作的常用动词及搭配。,你描述运动动作时常用 train 训练、practise 练习、score 得分、kick 踢、jump 跳等动词。比如 train hard for the race 为比赛刻苦训练，score a goal 进了一球。第三短语宾语搭配要准确。写运动经历作文时用这类动词刻画动作细节让叙述生动。,,
YY_WY_G1_B2_U3_010,英语,表示目的与原因的表达,74,typical_errors 第1条“表目的误用使 for 介词而好用 to 不定式更贴切”语句不通顺（typical_errors 表述混乱）,用不定式或介词短语表达运动出行动机的表达方式。,你说做某事的目的或原因时可用 to 不定式表示目的，如 I go jogging to keep healthy 表示我晨跑去保持健康。也可用 for 介词短语说明缘故。写运动理由时用 to do 明确目的，配合承接句让行文自然。分清目的与结果，目的常用不定式表达更贴合。,,
YY_WY_G1_B2_U5_006,英语,旅行路行主题词汇,74,typical_errors 第2条“游客 tourist 误把 tour 与旅游 tour 混淆词性”自我重复且表述不清（typical_errors 含自指无意义表述）,描述旅途与出行的核心英语词汇。,你谈论旅行会用 journey 旅程、destination 目的地、tourist 游客、sightseeing 观光、luggage 行李等词。可说 a long journey 漫长的旅程，visit the scenic spot 参观景点。记忆时可把表达路途的与表达观光的词分组归类，写旅行游记时按闯关顺序调用既清晰又有层次。,,
YY_WY_G1_B2_U6_011,英语,表达环保倡议的句型,74,typical_errors 第2条“the high time to 结构中漏掉 to”表述错乱（应为 it's high time），且该结构与 to 不定式无关（typical_errors 表述错误）,就保护环境提出建议倡议的多种句型使用方式。,你发出环保倡议可用 Let's... 提议、Why not...? 建议、we should 表达应当、it's high time to... 到了该做的时候等句型。比如 Let's protect the environment 让我们保护环境。写倡议书时依次用这些句式给出行动号召，语气亲切又有推动力，让人愿意响应你的呼吁。,,
YY_WY_G1_B3_U1_005,英语,if 从句省略的倒装虚拟,74,typical_errors 第2条“把 does 或 did 倒装而违反虚拟倒装规则”与其他条重复混乱，表述不清晰（typical_errors 含错乱表述）,省略 if 采用 were 提前构成倒装虚拟条件句的句法结构。,你偶尔在正式书面中把 if 省略，改用 were 提到句首构成倒装虚拟句，比如 Were I you 等于 If I were you。这一结构更书面化、正式。用法主要是把 were、had 等助动词提前。写正式书信表达建议时恰当运用倒装虚拟句，能提升表达的品位与严谨度。,,
YY_WY_G1_B3_U3_009,英语,科学家品质与贡献词汇,74,explanation 中“用deventh a lot to结构”出现乱码/错词“deventh”，应为 devote（explanation 含乱码错词）,描述科学家探索精神、研究态度与成果意义的关键形容词和动词。,介绍科学家时常用brilliant杰出的、devoted献身的、curious好奇的、persistent坚持的这类形容词，搭配makeadifference产生影响、contribute对什么做贡献等词组。表达成果时用achievement成就、pioneer开辟。你积累这些词后，既能读懂人物传记，也能在写作里用deventh a lot to结构描述贡献。,,
YY_WY_G1_B3_U5_001,英语,过去分词作时间状语,74,typical_errors 第1条“把过去分词主动义的词误用，Time was等结构混乱”语句不通（typical_errors 表述混乱）,用过去分词短语表示动作发生时间，句首常伴when once等词的用法。,过去分词作时间状语，相当于时间状语从句的省略形式，比如Seen from the hill 相当于 When it is seen from the hill。作状语时它表示被动或已完成，主语就是句子的主干主语。你判断时先确认动作是被动的，再看它和主句动作的时间先后，就能准确选用过去分词来表达时间。,,
YY_WY_G1_B5_U2_002,英语,同位语从句whether引导,74,explanation 中“although在多数名词性从句中不能替代whether”写错词，应为 if，导致表述不通（explanation 连接词用错）,同位语从句表达是否时用whether引导而不用if的用法。,同位语从句中表示是否用whether引导，不用if，如the question whether he will come。although在多数名词性从句中不能替代whether，只有宾语从句在某条件下才可用if。你看到中心名词性的同位语从句表达是否，直接用whether最保险，不引入if歧义。,,
YY_WY_G1_B7_U5_011,英语,未知神秘的表达,74,typical_errors 第1条“curiosity 与 curiosity 拼写混淆”自我重复，无实际指向（typical_errors 含自指无意义表述）,表达神秘未知氛围的词汇。,表达未知和神秘的语境，这些词很有用。mysterious 神秘的、unexplained 无法解释的、curiosity 好奇心、explore the unknown 探索未知。这些词常出现在悬疑和冒险文章里。你写作营造悬念时用它们，能增强气氛。比如 curiosity drives us to discover 好奇心促使我们去发现。,,
SW_G1_B1_WZSR_001,生物,渗透作用发生的条件,74,explanation 有套话模板句：'抓住…两个条件即可'（结尾套话复述已述内容，无新信息）,渗透作用需要半透膜和膜两侧的浓度差两个条件，水分子从低浓度侧流向高浓度侧。,渗透作用是指水分子（或其他溶剂分子）通过半透膜的扩散。你记它发生的两个条件：一是存在半透膜，二是半透膜两侧的溶液具有浓度差。水分子总是从溶质浓度低的一侧向浓度高的一侧移动，直到两侧浓度差消失。答题常考判断某情境能否发生渗透作用，或者水分子移动方向的判断，抓住“浓度差”和“半透膜”两个条件即可。,,
SW_G1_B1_ZJXB_003,生物,细胞学说的科学意义,74,typical_errors 空泛：'审题时把意义题当成复述题'偏审题套话（典型错误未指向具体知识点错误，偏答题技巧）,揭示了动物和植物的统一性，说明生物体结构的统一性，促进生物学发展。,细胞学说的意义在于：它揭示了动物和植物在结构上的统一性，从而阐明了生物界的统一性；它把生物学的研究从宏观带入微观细胞水平，为后来细胞器、细胞分裂等研究奠定基础；它还催生了进化论，因为细胞统一性说明生物有共同的祖先。你答意义题时别只背结论，要说明它“为什么重要”，即从个体到细胞、从割裂到统一的认识飞跃。,,
SW_G1_B1_ZJXB_009,生物,高倍显微镜的使用步骤,74,explanation 有套话模板句：'答出…三要素即可得分'（结尾'即可得分'为填充废话）,低倍镜找到目标并移至视野中央，转动转换器换高倍镜，再调节细准焦螺旋。,使用高倍镜的标准流程你要背熟：先在低倍镜下找到物像并移到视野中央，转动转换器换用高倍物镜，然后调节细准焦螺旋使物像清晰。记住换高倍镜后不能用粗准焦螺旋，否则易压坏玻片；如果视野偏暗，可调大光圈或换凹面镜。考试常考“为什么必须先低倍后高倍”和换镜后的操作，答出物像移中、转换器、细准焦三要素即可得分。,,
